,show_id,type,title,release_year,listed_in
0,s1,Movie,Dick Johnson Is Dead,2020,Documentaries
1,s2,TV Show,Blood & Water,2021,"International TV Shows, TV Dramas, TV Mysteries"
2,s3,TV Show,Ganglands,2021,"Crime TV Shows, International TV Shows, TV Action & Adventure"
3,s4,TV Show,Jailbirds New Orleans,2021,"Docuseries, Reality TV"
4,s5,TV Show,Kota Factory,2021,"International TV Shows, Romantic TV Shows, TV Comedies"
5,s6,TV Show,Midnight Mass,2021,"TV Dramas, TV Horror, TV Mysteries"
6,s7,Movie,My Little Pony: A New Generation,2021,Children & Family Movies
7,s8,Movie,Sankofa,1993,"Dramas, Independent Movies, International Movies"
8,s9,TV Show,The Great British Baking Show,2021,"British TV Shows, Reality TV"
9,s10,Movie,The Starling,2021,"Comedies, Dramas"
10,s11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,"Crime TV Shows, Docuseries, International TV Shows"
11,s12,TV Show,Bangkok Breaking,2021,"Crime TV Shows, International TV Shows, TV Action & Adventure"
12,s13,Movie,Je Suis Karl,2021,"Dramas, International Movies"
13,s14,Movie,Confessions of an Invisible Girl,2021,"Children & Family Movies, Comedies"
14,s15,TV Show,Crime Stories: India Detectives,2021,"British TV Shows, Crime TV Shows, Docuseries"
15,s16,TV Show,Dear White People,2021,"TV Comedies, TV Dramas"
16,s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,"Documentaries, International Movies"
17,s18,TV Show,Falsa identidad,2020,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
18,s19,Movie,Intrusion,2021,Thrillers
19,s20,TV Show,Jaguar,2021,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
20,s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,"Crime TV Shows, Docuseries, International TV Shows"
21,s22,TV Show,Resurrection: Ertugrul,2018,"International TV Shows, TV Action & Adventure, TV Dramas"
22,s23,Movie,Avvai Shanmughi,1996,"Comedies, International Movies"
23,s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,Children & Family Movies
24,s25,Movie,Jeans,1998,"Comedies, International Movies, Romantic Movies"
25,s26,TV Show,Love on the Spectrum,2021,"Docuseries, International TV Shows, Reality TV"
26,s27,Movie,Minsara Kanavu,1997,"Comedies, International Movies, Music & Musicals"
27,s28,Movie,Grown Ups,2010,Comedies
28,s29,Movie,Dark Skies,2013,"Horror Movies, Sci-Fi & Fantasy"
29,s30,Movie,Paranoia,2013,Thrillers
30,s31,Movie,Ankahi Kahaniya,2021,"Dramas, Independent Movies, International Movies"
31,s32,TV Show,Chicago Party Aunt,2021,TV Comedies
32,s33,TV Show,Sex Education,2020,"British TV Shows, International TV Shows, TV Comedies"
33,s34,TV Show,Squid Game,2021,"International TV Shows, TV Dramas, TV Thrillers"
34,s35,TV Show,Tayo and Little Wizards,2020,Kids' TV
35,s36,Movie,The Father Who Moves Mountains,2021,"Dramas, International Movies, Thrillers"
36,s37,Movie,The Stronghold,2021,"Action & Adventure, Dramas, International Movies"
37,s38,TV Show,Angry Birds,2018,"Kids' TV, TV Comedies"
38,s39,Movie,Birth of the Dragon,2017,"Action & Adventure, Dramas"
39,s40,TV Show,Chhota Bheem,2021,Kids' TV
40,s41,TV Show,He-Man and the Masters of the Universe,2021,"Kids' TV, TV Sci-Fi & Fantasy"
41,s42,Movie,Jaws,1975,"Action & Adventure, Classic Movies, Dramas"
42,s43,Movie,Jaws 2,1978,"Dramas, Horror Movies, Thrillers"
43,s44,Movie,Jaws 3,1983,"Action & Adventure, Horror Movies, Thrillers"
44,s45,Movie,Jaws: The Revenge,1987,"Action & Adventure, Horror Movies, Thrillers"
45,s46,Movie,My Heroes Were Cowboys,2021,Documentaries
46,s47,Movie,Safe House,2012,Action & Adventure
47,s48,TV Show,The Smart Money Woman,2020,"International TV Shows, Romantic TV Shows, TV Comedies"
48,s49,Movie,Training Day,2001,"Dramas, Thrillers"
49,s50,TV Show,Castle and Castle,2021,"International TV Shows, TV Dramas"
50,s51,TV Show,Dharmakshetra,2014,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
51,s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,"Action & Adventure, Anime Features, International Movies"
52,s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,"Action & Adventure, Anime Features, International Movies"
53,s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,"Action & Adventure, Anime Features, International Movies"
54,s55,Movie,InuYasha the Movie: Affections Touching Across Time,2001,"Action & Adventure, Anime Features, International Movies"
55,s56,TV Show,Nailed It,2021,Reality TV
56,s57,Movie,Naruto Shippuden the Movie: Blood Prison,2011,"Action & Adventure, Anime Features, International Movies"
57,s58,Movie,Naruto Shippûden the Movie: Bonds,2008,"Action & Adventure, Anime Features, International Movies"
58,s59,Movie,Naruto Shippûden the Movie: The Will of Fire,2009,"Action & Adventure, Anime Features, International Movies"
59,s60,Movie,Naruto Shippuden: The Movie,2007,"Action & Adventure, Anime Features, International Movies"
60,s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,"Action & Adventure, Anime Features, International Movies"
61,s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,"Action & Adventure, Anime Features, International Movies"
62,s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,"Action & Adventure, Anime Features, International Movies"
63,s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,"Action & Adventure, Anime Features, International Movies"
64,s65,Movie,Nightbooks,2021,Children & Family Movies
65,s66,TV Show,Numberblocks,2021,Kids' TV
66,s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,"Docuseries, International TV Shows"
67,s68,TV Show,Saved by the Bell,1994,"Kids' TV, TV Comedies"
68,s69,Movie,Schumacher,2021,"Documentaries, International Movies, Sports Movies"
69,s70,TV Show,Stories by Rabindranath Tagore,2015,"International TV Shows, TV Dramas"
70,s71,TV Show,Too Hot To Handle: Latino,2021,"International TV Shows, Reality TV, Romantic TV Shows"
71,s72,Movie,A StoryBots Space Adventure,2021,Children & Family Movies
72,s73,TV Show,Jack Whitehall: Travels with My Father,2021,"British TV Shows, Docuseries, International TV Shows"
73,s74,Movie,King of Boys,2018,"Dramas, International Movies"
74,s75,TV Show,The World's Most Amazing Vacation Rentals,2021,Reality TV
75,s76,Movie,You vs. Wild: Out Cold,2021,Children & Family Movies
76,s77,TV Show,Yowamushi Pedal,2013,"Anime Series, International TV Shows"
77,s78,Movie,Little Singham - Black Shadow,2021,"Children & Family Movies, Comedies"
78,s79,Movie,Tughlaq Durbar,2020,"Comedies, Dramas, International Movies"
79,s80,Movie,Tughlaq Durbar (Telugu),2021,"Comedies, Dramas, International Movies"
80,s81,Movie,Firedrake the Silver Dragon,2021,Children & Family Movies
81,s82,Movie,Kate,2021,Action & Adventure
82,s83,TV Show,Lucifer,2021,"Crime TV Shows, TV Comedies, TV Dramas"
83,s84,TV Show,Metal Shop Masters,2021,Reality TV
